,env,algo,lr,beta,epsilon,avg_return,total_time,asymptotic_return
163,Qbert,adam,0.007205077887336177,0.4588329645949867,0.04560399605531443,1419.7074381949692,4987.699798822403,3785.75
164,BeamRider,tdprop,0.007205077887336177,0.4588329645949867,0.04560399605531443,1313.0911453499164,7027.486772060394,1564.6
165,SpaceInvaders,tdprop,0.007205077887336177,0.4588329645949867,0.04560399605531443,412.220676369863,10901.772475481033,461.75
166,Breakout,tdprop,0.007205077887336177,0.4588329645949867,0.04560399605531443,30.661199879409104,8814.890105485916,101.18
167,Qbert,tdprop,0.007205077887336177,0.4588329645949867,0.04560399605531443,1307.2132128863736,9900.10757613182,2372.0
168,BeamRider,sgd,0.27519344120787936,0.8556428049085837,0.0009496020181278835,1181.9577535624476,6016.737797498703,1605.5
169,SpaceInvaders,sgd,0.27519344120787936,0.8556428049085837,0.0009496020181278835,363.46260997067446,6763.147374629974,540.15
170,Breakout,sgd,0.27519344120787936,0.8556428049085837,0.0009496020181278835,59.72971609742038,5676.192437887192,185.49
171,Qbert,sgd,0.27519344120787936,0.8556428049085837,0.0009496020181278835,1751.3179308340598,4934.785279750824,3824.0
172,BeamRider,adam,0.009329899067211303,0.8556428049085837,0.0009496020181278835,353.01197604790417,5509.850962162018,330.64
173,SpaceInvaders,adam,0.009329899067211303,0.8556428049085837,0.0009496020181278835,252.4489552238806,5393.6330235004425,217.25
174,Breakout,adam,0.009329899067211303,0.8556428049085837,0.0009496020181278835,13.882822964297262,7505.758255720139,32.32
175,Qbert,adam,0.009329899067211303,0.8556428049085837,0.0009496020181278835,333.733362211546,7113.696485042572,351.0
176,BeamRider,tdprop,0.009329899067211303,0.8556428049085837,0.0009496020181278835,1102.987341772152,7195.218289852142,1158.44
177,SpaceInvaders,tdprop,0.009329899067211303,0.8556428049085837,0.0009496020181278835,286.43995900472584,7298.247351408005,305.9
178,Breakout,tdprop,0.009329899067211303,0.8556428049085837,0.0009496020181278835,1.9505481646834326,7600.27968454361,1.99
179,Qbert,tdprop,0.009329899067211303,0.8556428049085837,0.0009496020181278835,149.24560271098917,21841.897626161575,147.0
180,BeamRider,sgd,0.13683319944978864,0.5100528062138958,0.0001627432527431295,1319.8586898633055,22045.130078792572,1789.88
181,SpaceInvaders,sgd,0.13683319944978864,0.5100528062138958,0.0001627432527431295,380.9031591188061,6489.195122003555,478.8
182,Breakout,sgd,0.13683319944978864,0.5100528062138958,0.0001627432527431295,22.222053360351232,5095.94708108902,59.73
183,Qbert,sgd,0.13683319944978864,0.5100528062138958,0.0001627432527431295,1325.137660824906,7059.545757055283,2881.25
184,BeamRider,adam,0.0007137818424549719,0.5100528062138958,0.0001627432527431295,913.4471144749291,6810.462193727493,1056.2
185,SpaceInvaders,adam,0.0007137818424549719,0.5100528062138958,0.0001627432527431295,262.16011674472276,6635.972547054291,414.7
186,Breakout,adam,0.0007137818424549719,0.5100528062138958,0.0001627432527431295,17.89851925832646,5296.297712564468,102.48
187,Qbert,adam,0.0007137818424549719,0.5100528062138958,0.0001627432527431295,665.3287291450072,4965.697682142258,902.5
188,BeamRider,tdprop,0.0007137818424549719,0.5100528062138958,0.0001627432527431295,1600.6226371061844,6943.236640930176,2392.38
189,SpaceInvaders,tdprop,0.0007137818424549719,0.5100528062138958,0.0001627432527431295,412.4088483770565,6917.13843870163,517.75
190,Breakout,tdprop,0.0007137818424549719,0.5100528062138958,0.0001627432527431295,34.65717935978423,7405.637536525726,56.42
191,Qbert,tdprop,0.0007137818424549719,0.5100528062138958,0.0001627432527431295,797.516701614083,7361.301490306854,854.5
192,BeamRider,sgd,0.055702386665174804,0.028877571830689286,3.106822729349788e-05,835.5313052011776,5795.4435522556305,1240.64
